호선,역이름,무임승하차비율,무임승하차,유임승하차,출퇴근시간 이용객수,출퇴근시간 제외한 이용객수 ,역간거리(km),지역,행정동,노인인구비율,노인인구수,평균연령,인구수(사분위수),인구밀도 (명/㎢),지역별통근인원비율(12세 이상),지역내총생산(2016)(백만원),자치구별 재난지원금 대상자 비율 ,석유사용량(bbl),교통안전지수,자동차수,통근 통학시 지하철 이용 비율,250m내 버스정류장 수,자치구별 지하철역 개수,자동차세,재산세,지방소득세(2020),지역별 기초수급자 비율,차 1대당 석유사용량,"2020 세금평균(자동차, 재산,지방소득)"
8호선,문정,9.982229846,93447.1828,842688.1721,371465.967,474104.1648,0.9,송파구,문정1동,0.153294487,"3,078",43.4,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,2,29,"50,715","309,537","363,480",0.0006334,0.7149,241244
8호선,복정,14.35342111,81295.19355,485086.8064,193537.0549,343901.2198,0.9,송파구,문정동,0.146962982,3574.5,42.65,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,9,29,"50,715","309,537","363,480",0.0003923,0.7149,241244
8호선,석촌,20.89455417,105197.6344,398271.5161,168062.7473,340936.5824,1.3,송파구,석촌동,0.144685378,"4,624",43,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,5,29,"50,715","309,537","363,480",0.0015676,0.7149,241244
8호선,송파,21.39904479,88334.41936,324461.6667,137617.4286,246759.6923,0.9,송파구,가락1동,0.131966618,"3,637",40.3,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,6,29,"50,715","309,537","363,480",0.0001765,0.7149,241244
8호선,암사,18.33979147,182129.6452,810954.957,356807.8681,629182.1538,0.6,강동구,"암사1,2동",0.171942125,4355,43.9,3,"18,970",0.635355052,"7,424,711",75.7,48154.79126,78.63,152283,38.2,6,13,"27,354","117,372","99,745",0.0023188,0.3162,81490
8호선,잠실(송파구청),13.59136747,116767.9012,742364.938,264897.5714,563893.3976,0.8,송파구,"잠실3,6동",0.174873598,4457.5,43.05,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,2,29,"50,715","309,537","363,480",0.0000693,0.7149,241244
8호선,장지,13.37229916,130846.5914,847643.2688,329385.3846,606683.2308,0.9,송파구,장지동,0.15340851,"4,503",42.8,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,9,29,"50,715","309,537","363,480",0.0026468,0.7149,241244
8호선,천호(풍납토성),14.67937684,166355.6343,966905.2404,369531.5571,769398.2381,1.3,강동구,천호동,0.184499001,5359.5,45.05,3,"18,970",0.635355052,"7,424,711",75.7,48154.79126,78.63,152283,38.2,6,13,"27,354","117,372","99,745",0.003773,0.3162,81490
9호선,가양,19.85271321,230524.5377,930649.4301,391946.2857,762425.1099,1.3,강서구,가양2동,0.305952635,"4,302",51.7,4,"13,986",0.643029414,"10,739,720",81.1,690250.1238,75.53,207008,36.1,10,23,"35,002","115,943","143,479",0.0059482,3.3344,98141
9호선,개화,18.98832092,48617.86021,207423,99732.21978,150892.2747,1.17,강서구,방화2동,0.210935839,"4,961",46.3,4,"13,986",0.643029414,"10,739,720",81.1,690250.1238,75.53,207008,36.1,4,23,"35,002","115,943","143,479",0.003033,3.3344,98141
